indice_centralidad,nombre,tipo
33,El Paraíso,Centralidad Emergente
19,La Loma,Centralidad Emergente
22,La Tijera,Centralidad Emergente
37,Santa Cruz del Valle,Centralidad Satélite
11,Lomas de Tejeda,Centralidad Emergente
57,La Gigantera,Centralidad Emergente
4,Ixtlahuacán,Centralidad Satélite
48,Matatlán,Centralidad Emergente
10,Tateposco,Centralidad Emergente
38,Santa Fe,Centralidad Satélite
45,Tololotlán,Centralidad Emergente
52,San José del Castillo,Centralidad Satélite
43,Centro Sur,Centralidad Periférica
7,Centro Tlaquepaque,Centralidad Metropolitana
1,La Higuera,Centralidad Emergente
2,Arboledas del Zapote,Centralidad Emergente
39,Hacienda Los Fresnos II,Centralidad Emergente
5,Huentitán,Centralidad Periférica
6,Miravalle,Centralidad Periférica
12,Santa Cruz de las Flores,Centralidad Satélite
8,Parque Solidaridad - Tetlán,Centralidad Periférica
9,Oblatos,Centralidad Periférica
31,Rincón de los Copales,Centralidad Emergente
13,Valentín Campa,Centralidad Emergente
14,Nextipac,Centralidad Emergente
18,San Martín de las Flores,Centralidad Periférica
36,Haciendo de los Eucaliptos,Centralidad Emergente
15,Santa Lucía,Centralidad Emergente
32,Las Liebres,Centralidad Emergente
17,Tlajomulco de Zúñiga,Centralidad Satélite
24,Las Águilas,Centralidad Periférica
27,El Terreno,Centralidad Emergente
16,Las Mesas,Centralidad Emergente
20,San Juan,Centralidad Emergente
23,Lomas de La Primavera,Centralidad Emergente
25,Santa Ana - El Briseño,Centralidad Emergente
30,Santa Anita,Centralidad Satélite
26,La Cantera,Centralidad Emergente
34,Toluquilla,Centralidad Satélite
21,Expo - Chapalita,Centralidad Periférica
35,Las Pintitas,Centralidad Satélite
40,Lazaro Cárdenas del Río,Centralidad Emergente
41,Coyula,Centralidad Satélite
42,Tonalá Centro,Centralidad Periférica
46,Colotlán,Centralidad Emergente
55,Buenavista,Centralidad Emergente
44,Río Blanco,Centralidad Emergente
54,La Capilla,Centralidad Emergente
49,La Laja,Centralidad Emergente
50,Santa Fe,Centralidad Emergente
53,Atequiza,Centralidad Emergente
59,Cajititlán,Centralidad Emergente
56,Lomas del Sur,Centralidad Emergente
63,La Azucena,Centralidad Emergente
47,San Esteban,Centralidad Emergente
60,El Salto,Centralidad Satélite
70,Centro Guadalajara,Centralidad Metropolitana
64,La Venta,Centralidad Emergente
71,La Purísimia,Centralidad Emergente
61,Tesistán,Centralidad Satélite
62,Copalita,Centralidad Emergente
3,Zapotlanejo,Centralidad Satélite
58,San Miguel Cuyutlán,Centralidad Emergente
51,San Lucas Evangelista,Centralidad Emergente
28,Silos,Centralidad Emergente
29,La Alcantarilla,Centralidad Emergente
68,Centro Zapopan,Centralidad Metropolitana
69,Providencia,Centralidad Periférica
65,Base Aérea,Centralidad Periférica
