indice_centralidad,longitud,latitud
33,671970.666316877,2272132.759189983
33,671252.5432486596,2272231.8776648925
33,670996.9788590214,2272341.405260452
33,670943.4320345258,2272278.1226496845
33,670558.8684767846,2272579.9320241143
33,670561.3024233525,2272669.9880471295
33,669663.1761397668,2272998.5708338073
33,669996.2608628066,2273550.006760253
33,670222.0792850561,2273923.858763267
33,670333.793615339,2274136.1169271576
33,670474.7427923337,2273959.4197704904
33,670729.0641334327,2273754.1242300854
33,671139.6552142429,2273427.7962442175
33,671351.5896651589,2273262.8448523004
33,671600.8041520187,2273072.869874612
33,671682.513819842,2272985.5426671263
33,671716.219057819,2272916.6001349003
33,671765.2902017592,2272772.837466555
33,671758.4489109144,2272741.8256096807
33,671771.4559866851,2272753.6050702874
33,671772.2222819858,2272751.214832052
33,671925.8315019722,2272272.074961839
33,671970.666316877,2272132.759189983
19,681253.1164752343,2273639.999578623
19,681253.7933757242,2273646.4815381714
19,681239.6054928014,2273646.7587582003
19,681190.1880906273,2273645.3468197123
19,681187.6247293804,2273694.951322726
19,681196.289356709,2273790.983969199
19,681135.8255180747,2273795.719230667
19,681122.6843884038,2273696.222106019
19,681070.745637801,2273703.7313229744
19,681035.2447897061,2273706.67859375
19,680985.6411755547,2273717.4982460416
19,680936.4504052888,2273727.1753645996
19,680929.424614606,2273728.231441983
19,680927.5335813679,2273728.515691475
19,680873.8419012236,2273738.663371312
19,680818.4965600355,2273748.9979754235
19,680908.752262647,2274075.971765736
19,680862.4973981852,2274082.7079110453
19,680817.202465996,2274090.7288886216
19,680703.9651355252,2274118.0945768193
19,680482.606402241,2274249.557568375
19,680467.9243413387,2274253.805762722
19,680426.5590128413,2274280.864498533
19,680386.9647024185,2274297.7174614314
19,680357.9480142622,2274311.213853797
19,680343.9284436426,2274317.734709135
19,680285.941811424,2274348.424013094
19,680032.9377774979,2273997.03583677
19,679950.6514225974,2274105.6383023364
19,679907.919761491,2274160.9195627114
19,679765.0808146801,2274345.3428724613
19,679713.023880627,2274410.313784456
19,679619.9420040854,2274530.134412327
19,679573.8817165231,2274565.834030121
19,679570.2475818569,2274567.6670195195
19,679566.6134461074,2274569.500017314
19,679529.5609355283,2274588.18860119
19,679464.3720445578,2274608.5601106505
19,679425.2530237949,2274610.6241234806
19,679422.7358181113,2274610.756935645
19,679388.638951509,2274612.0817264067
19,679363.1080350584,2274612.8718426265
19,679335.7916626927,2274613.811274039
19,678982.3771930258,2274629.5887963017
19,678899.9665339862,2274632.3132304493
19,678767.3244340918,2274636.6983588235
19,678714.6998537728,2274638.438153171
19,678420.5650511482,2275292.7638890897
19,678357.2697829807,2275446.7823749706
19,678312.557695203,2275552.0661342787
19,678285.0470954806,2275612.7183792554
19,678266.4436786381,2275691.0298342523
19,678257.8843863722,2275727.0603460977
19,678247.2242591874,2275831.4186460124
19,678250.9199297866,2275956.7248683716
19,678272.9037398482,2276075.4518044814
19,678289.5175054374,2276145.9120632247
19,678299.8291498168,2276189.6445408175
19,678333.9529466198,2276334.3661898416
19,678366.7233500115,2276466.749087884
19,678377.5225721827,2276595.1854168195
19,678789.1517217454,2276575.0660498454
19,679343.5661720561,2276547.9677070933
19,679896.0690794387,2276520.96279561
19,680822.0898102919,2276478.660784247
19,681141.7169379645,2276453.551727279
19,681157.2604893397,2276452.3306672275
19,681401.6234646728,2276421.689541794
19,681538.1114214939,2276417.9329925235
19,681538.111421494,2276417.9329925235
19,681538.1114214942,2276417.9329925235
19,681652.1146650927,2276414.7952885716
19,682009.0837763944,2276372.6637411006
19,682047.3851831863,2276105.3199216924
19,682048.0232945166,2275919.6295245653
19,682048.917239458,2275659.491546633
19,682044.7054580473,2275593.896739005
19,682004.8571332936,2274973.293972216
19,681399.8333847134,2275044.9521327564
19,681253.1164752343,2273639.999578623
22,663182.6418451428,2279094.0450133802
22,663360.0658442172,2278990.947284188
22,663777.0820228648,2278895.2120525143
22,663957.1940688957,2278814.0805002484
22,664156.7776874702,2278771.89209307
22,664138.9287459716,2278716.722637529
22,664619.9319255194,2278560.4619395426
22,664666.7597945374,2277460.4570720713
22,664610.260566874,2277450.8943807627
22,664624.9067440456,2277239.3170707645
22,664847.8713823137,2277151.722477613
22,664752.3173381875,2276982.407416968
22,664621.5591725413,2276640.424522201
22,664562.9358274526,2276539.515485573
22,664519.2995814589,2276464.4039146006
22,664353.3372942923,2276320.2346550412
22,664169.3782130997,2275734.2833823254
22,664022.997580285,2275137.7132561365
22,663964.9977069056,2275151.522749798
22,663854.5217576113,2274745.523636142
22,663502.4348633972,2274821.650532188
22,663241.3802390284,2274878.094775295
22,663198.3887151912,2274946.3641931415
22,663078.2116934402,2275137.2021672623
22,663051.93015604,2275178.9365627496
22,662884.4253370027,2275306.607918723
22,662702.6213260967,2275402.1060929913
22,662664.3199193047,2275403.127463839
22,662280.2844805367,2275733.0302476743
22,662095.1922651009,2275905.5211037304
22,661451.6698604621,2276259.044141472
22,663182.6418451428,2279094.0450133802
37,681502.1289165401,2268993.2446883945
37,681087.4452336294,2269081.8099288563
37,680937.4420081062,2269078.9252514425
37,680848.017008275,2269006.808316095
37,680747.0532987881,2268721.2252521175
37,680519.1637830893,2268594.2994459057
37,680398.0073317052,2268677.9550909093
37,679206.6355597605,2268478.9123493494
37,675942.0399743451,2269886.6082547167
37,675515.0457305117,2269129.0067295404
37,675439.2938591107,2269161.0078902515
37,675260.4716999996,2269209.6591
37,675098.0601324089,2269221.589240282
37,674886.6435843436,2269189.4440341434
37,674654.20901688,2269157.298828005
37,674113.9222829355,2269395.915165879
37,673967.7801999999,2269578.7435
37,673458.6546193416,2269842.238989573
37,673173.0568263411,2269827.402740586
37,672623.9156986895,2270107.1025938136
37,672616.1589000002,2270131.660599999
37,672610.7976000002,2270148.109099999
37,672610.7385,2270148.2905
37,672582.5992999999,2270234.6219999995
37,672554.6322999997,2270320.4254
37,672495.6173,2270502.9120000005
37,672439.377008303,2270685.6928040483
37,672436.3412468855,2270685.7617518157
37,671970.666316877,2272132.759189983
37,671925.8315019722,2272272.074961839
37,671772.2222819858,2272751.214832052
37,671771.4559866851,2272753.6050702874
37,671758.4489109144,2272741.8256096807
37,671765.2902017592,2272772.837466555
37,672569.0027328744,2273587.5975926
37,672648.6940489975,2273690.3182491916
37,672707.0976694921,2273836.168478512
37,672853.4783023068,2274239.4056934356
37,672954.2128940437,2274564.144570369
37,672987.989681636,2274661.252834697
37,672952.805527894,2274792.137886617
37,672979.1446946291,2274900.8804398347
37,673009.525580685,2275103.879996663
37,673006.7636819526,2275373.1651230673
37,673023.3350743466,2275531.9743001773
37,673107.5729856835,2275624.497907711
37,673233.2393780056,2275730.831008907
37,673363.0486184264,2276116.1158820703
37,673439.4322536121,2276472.146049662
37,673513.1092303839,2276462.0335234385
